Key	Korean	English
Simulation.ScheduledFaultRecovery	예약 장애 및 복구	Scheduled fault and recovery
Simulation.ScheduledFaultRecoveryHint	선언한 Tick에 선택한 장애를 주입하고 해제한 뒤 같은 엔진에서 복구합니다.	Inject the selected fault at the authored tick, clear it, and recover in the same engine.
Simulation.EnableScheduledFault	예약 장애 사용	Enable scheduled fault
Simulation.FaultKind	장애 종류	Fault type
Simulation.FaultTarget	장애 대상	Fault target
Simulation.StuckInputForceOn	입력을 ON으로 고정	Force stuck input ON
Simulation.ScheduledFaultScheduleSummary	{0} · {1} · Tick {2} 주입 · {3} Tick 유지 · {4}	{0} · {1} · inject at tick {2} · hold {3} ticks · {4}
Simulation.FaultInjectTick	주입 Tick	Inject tick
Simulation.FaultHoldTicks	유지 Tick	Hold ticks
Simulation.RestartSequence	장애 해제 후 시퀀스 재시작	Restart sequence after clear
Simulation.RecoverySequence	복구 시퀀스	Recovery sequence
Simulation.FaultScheduleDisabled	예약 장애 사용 안 함	Scheduled fault disabled
Simulation.FaultScheduleInvalid	장애 주입과 해제 Tick은 시나리오 기간 안에 있어야 하며 복구 대상을 선택해야 합니다.	Injection and clear ticks must fit within the scenario, and a recovery target must be selected.
Simulation.RecoveryClearOnly	장애 해제만	Clear only
Simulation.RecoveryRestart	{0} 재시작	Restart {0}
Shell.Edit	편집	Edit
Shell.Undo	실행 취소	Undo
Shell.Redo	다시 실행	Redo
Shell.Copy	복사	Copy
Shell.Duplicate	복제	Duplicate
Shell.Delete	삭제	Delete
Gallery.Open	반도체 레시피 갤러리...	Semiconductor recipe gallery...
Gallery.OpenTooltip	10개 반도체 장비 레시피에서 시작합니다.	Start from 10 semiconductor equipment recipes.
Gallery.CommandLabel	레시피	Recipes
Gallery.Title	반도체 레시피 갤러리	Semiconductor recipe gallery
Gallery.Subtitle	장비 구성을 한눈에 비교하고 복사본을 만들어 편집하십시오.	Compare equipment configurations at a glance, then create an editable copy.
Gallery.Close	닫기	Close
Gallery.CreateCopy	복사본 만들기	Create a copy
Gallery.CopyHint	원본 템플릿은 변경되지 않습니다.	The original template remains unchanged.
Gallery.SafePreview	레시피를 선택해도 시뮬레이션은 시작되지 않습니다. 복사본은 설계 모드로 열립니다.	Selecting a recipe does not start simulation. The copy opens in Design mode.
Gallery.ValidateAll	10개 모두 검증	Validate all 10
Gallery.ValidateAllTooltip	내장 레시피 10개를 순서대로 컴파일하고 격리 드라이런합니다.	Compile and isolated-dry-run all 10 bundled recipes in order.
Gallery.ValidationPending	대기	Pending
Gallery.ValidationRunning	검증 중	Validating
Gallery.ValidationPassed	통과	Passed
Gallery.ValidationFailed	실패	Failed
Gallery.ValidationProgressFormat	레시피 검증 {0}/{1}	Recipe validation {0}/{1}
Gallery.ValidationPassedSummaryFormat	{0}/{1}개 레시피가 컴파일과 격리 드라이런을 모두 통과했습니다.	{0}/{1} recipes passed compilation and isolated dry run.
Gallery.ValidationFailedSummaryFormat	{0}개 실패 · 첫 실패: {1} · 단계 {2} · {3}	{0} failed · First failure: {1} · Step {2} · {3}
Gallery.ValidationCompileStage	컴파일	Compile
Gallery.ValidationLoadStage	불러오기	Load
Gallery.ValidationSequenceMissing	자동 실행 시퀀스가 구성되지 않았습니다.	No automatic-run sequence is configured.
Gallery.ProjectSchema	프로젝트 스키마	Project schema
Gallery.ProjectSchemaFormat	스키마 {0}	Schema {0}
Gallery.ValidatedBuild	검증 빌드	Validated build
Gallery.ValidationContextFormat	스키마 {0} · 빌드 {1}	Schema {0} · Build {1}
Gallery.SaveCompatibilityReport	호환성 보고서 저장	Save compatibility report
Gallery.SaveCompatibilityReportTooltip	각 레시피의 스키마, 검증 결과, 실행 빌드와 커밋을 JSON으로 저장합니다.	Save each recipe schema, validation result, executable build, and commit as JSON.
Gallery.CompatibilityReportRequiresValidation	10개 레시피 검증을 완료한 뒤 보고서를 저장하십시오.	Complete validation of all 10 recipes before saving the report.
Gallery.CompareCompatibilityReports	보고서 비교	Compare reports
Gallery.CompareCompatibilityReportsTooltip	저장된 기준 보고서와 현재 보고서를 불러와 레시피 호환성 변화를 비교합니다.	Load a saved baseline and current report to compare recipe compatibility changes.
Gallery.CompareBaselineReport	기준 호환성 보고서 선택	Select baseline compatibility report
Gallery.CompareCurrentReport	현재 호환성 보고서 선택	Select current compatibility report
